"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Sat Dec 16 04:34:03 +0000 2023","1735880948560826636","Me looking at how ignorant #stigma can be when the world has moved to #UequalsU.  You can't shame the shameless again because people living with #HIV  on daily #ART &amp; are virally #undetectable are now living as if there's no HIV; #untransmittable &amp; same life expectancy as anyone. https://t.co/u1p5KmwkWF","1","1","6","43","en","1426945319879811079","1735880948560826636","Ugo_PNnamdi","https://twitter.com/Ugo_PNnamdi/status/1735880948560826636","https://pbs.twimg.com/media/GBcWhOyWEAET0jr.jpg","Nigeria"
"Thu Dec 14 17:25:42 +0000 2023","1735350363262190002","The fight is still on! We should not give up! There is a potential for an #HIV cure! https://t.co/eoblVyRcFO","2","4","11","47","en","361919626","1735350363262190002","raelwyne","https://twitter.com/raelwyne/status/1735350363262190002","https://pbs.twimg.com/ext_tw_video_thumb/1735350242692751360/pu/img/Wresj85A-bInyIOk.jpg","Kampala"
"Tue Dec 12 16:36:00 +0000 2023","1734613079034613941","Curing #HIV—How Far Have We Come?  https://t.co/71viAS20KG  #hivcure https://t.co/8NkafaLgMn","3","1","16","96","en","459971289","1734613079034613941","defeatHIV","https://twitter.com/defeatHIV/status/1734613079034613941","https://pbs.twimg.com/media/GAwlpDpaIAAWtBA.jpg","Based @FredHutch Seattle"
"Sat Dec 16 17:33:29 +0000 2023","1736077095782990212","“I don’t feel  as someone living with #HIV  that I am somehow ‘lesser than’ other people.” #MakeStigmaHistory  H/t @ChamberVoice. https://t.co/dP2JPosdTg","0","2","8","53","en","188289863","1736077095782990212","Matthew_Hodson","https://twitter.com/Matthew_Hodson/status/1736077095782990212","https://pbs.twimg.com/ext_tw_video_thumb/1736077014149324800/pu/img/f8o9WySTs-huQp9N.jpg","London, Europe"
"Fri Dec 15 20:22:07 +0000 2023","1735757146111787137","Madonna has been a warrior in the struggle to combat #HIV and to honour those who live with the virus and those who died. The highlight of the #CelebrationTour for me was the moving tribute to all those lost to AIDS. https://t.co/qHnTjJpSjT","3","3","6","41","en","188289863","1735604264028836052","Matthew_Hodson","https://twitter.com/Matthew_Hodson/status/1735757146111787137","https://pbs.twimg.com/ext_tw_video_thumb/1735757032030920704/pu/img/ioNrec88tdoCV1AU.jpg","London, Europe"
"Fri Dec 08 19:15:59 +0000 2023","1733203787890794697","It's not #Covid   it's not Long Coivd.  "You see it in each country  it's the same. The curve of vaccination is followed by the curve of deaths". Virologist Luc Montagnier (Nobel Prize winner for discovery of the human immunodeficiency virus (#HIV ).  #ExcessDeaths #Pfizer… https://t.co/Ib9hB9qjuW","13","13","186","317","en","990043728344748036","1733203787890794697","JimmyJoeYam","https://twitter.com/JimmyJoeYam/status/1733203787890794697","https://pbs.twimg.com/ext_tw_video_thumb/1733202694326599680/pu/img/Haj2SNjNImW0syEe.jpg",""
"Fri Dec 15 10:14:37 +0000 2023","1735604264028836052","“If we can learn to deal with our fears I am hopeful that we can conquer this disease.” - Madonna in 1991.  Mother has always understood that #HIV stigma creates the greatest obstacle to HIV prevention. https://t.co/gojFzOpJcQ","6","9","62","237","en","188289863","1735604264028836052","Matthew_Hodson","https://twitter.com/Matthew_Hodson/status/1735604264028836052","https://pbs.twimg.com/ext_tw_video_thumb/1735604200900329472/pu/img/KtMWIjTu_aw6ZOxq.jpg","London, Europe"
"Fri Dec 15 05:34:29 +0000 2023","1735533767350009978","Living with #HIV?  Stay in care Stay healthy Stay #undetectable Stay #untransmittable Stay strong Stay on #ART Stay unlimited Stay unchallenged Stay hopeful Stay loving &amp; loved Stay undaunted Stay #zerorisk Stay unashamed Stay here  Because the treatment works &amp; no difference. https://t.co/jhmgBGFYIi","2","1","15","60","en","1426945319879811079","1735533767350009978","Ugo_PNnamdi","https://twitter.com/Ugo_PNnamdi/status/1735533767350009978","https://pbs.twimg.com/media/GBXaww8XkAAvqII.jpg","Nigeria"
"Thu Dec 14 13:26:47 +0000 2023","1735290236983296297","Self-denial or fear of acceptance of #HIV diagnosis is one of the feelings of living with HIV &amp; it's valid. But it's better when treated on time.  Even after many years on #ART  doubt still occurs to some  &amp; that's why people living with HIV need daily support to stay #UequalsU. https://t.co/I2x5zG9UjO","2","0","9","49","en","1426945319879811079","1735290236983296297","Ugo_PNnamdi","https://twitter.com/Ugo_PNnamdi/status/1735290236983296297","https://pbs.twimg.com/media/GBT9Rc9WYAAO602.jpg","Nigeria"
"Tue Dec 12 13:14:29 +0000 2023","1734562364891271225","Lately  I’ve been noticing that I’ve been feeling like my old self –– the version of me before I was diagnosed. It’s refreshing and reassuring to feel like I’m still the old me before I became a #PLHIV. I even forget sometimes that I have #HIV.","0","6","4","109","en","1655497729450328066","1734562364891271225","pozziecat8","https://twitter.com/pozziecat8/status/1734562364891271225","","Taguig City, NCR"
